request_time,write,response_time
1773679827491,false,
1773679827534,true,
1773679827584,true,
1773679827634,false,
1773679827684,true,
1773679827734,true,
1773679827784,true,
1773679827833,true,
1773679827883,true,
1773679827934,true,
1773679827984,true,
1773679828034,true,
1773679828085,true,
1773679828134,true,
1773679828183,true,
1773679828233,true,
1773679828284,false,
1773679828333,false,
1773679828384,false,
1773679828434,true,
1773679828483,true,
1773679828534,true,
1773679828483,true,
1773679828533,true,
1773679828585,true,
1773679828634,true,
1773679828684,true,
1773679828734,true,
1773679828784,true,
1773679828834,true,
1773679828884,true,
1773679828934,true,
1773679828984,false,
1773679829033,true,
1773679829084,true,
1773679829134,true,
1773679829183,false,
1773679829234,true,
1773679829284,true,
1773679829334,false,
1773679829383,false,
1773679829434,true,
1773679829484,true,
1773679829534,true,
1773679829584,true,
1773679829633,true,
1773679829683,true,
1773679829734,true,
1773679829783,true,
1773679829833,true,
1773679829884,false,
1773679829934,true,
1773679829983,true,
1773679830034,true,
1773679830084,true,
1773679830134,true,
1773679830183,false,
1773679830234,true,
1773679830283,false,
1773679830334,true,
1773679830384,true,
1773679830433,true,
1773679830484,false,
1773679830533,false,
1773679830583,false,
1773679830634,false,
1773679830683,true,
1773679830733,true,
1773679830784,true,
1773679830833,true,
1773679830884,true,
1773679830933,true,
1773679830984,true,
1773679831033,true,
1773679831083,true,
1773679831134,true,
1773679831183,true,
1773679831234,true,
1773679831284,false,
1773679831333,true,
1773679831383,true,
1773679831433,true,
1773679831483,false,
1773679831534,false,
1773679831583,true,
1773679831634,false,
1773679831683,true,
1773679831733,true,
1773679831784,true,
1773679831833,false,
1773679831884,true,
1773679831934,true,
1773679831984,true,
1773679832034,false,
1773679832083,true,
1773679832134,false,
1773679832184,true,
1773679832234,true,
1773679832284,true,
1773679832334,true,
1773679832384,true,
1773679832433,true,
1773679832484,false,
1773679832533,false,
1773679832584,false,
1773679832634,false,
1773679832683,true,
1773679832734,true,
1773679832784,true,
1773679832833,true,
1773679832884,true,
1773679832933,true,
1773679832984,true,
1773679833034,false,
1773679833084,false,
1773679833134,true,
1773679833184,false,
1773679833233,true,
1773679833284,true,
1773679833333,true,
1773679833384,false,
1773679833433,false,
1773679833483,true,
1773679833534,true,
1773679833584,false,
1773679833633,true,
1773679833684,false,
1773679833734,true,
1773679833784,false,
1773679833834,true,
1773679833883,true,
1773679833934,true,
1773679833984,false,
1773679834033,true,
1773679834084,true,
1773679834134,true,
1773679834184,true,
1773679834233,false,
1773679834284,true,
1773679834334,true,
1773679834383,true,
1773679834434,false,
1773679834484,false,
1773679834534,true,
1773679834583,true,
1773679834634,false,
1773679834684,true,
1773679834733,true,
1773679834784,true,
1773679834833,true,
1773679834884,true,
1773679834934,true,
1773679834983,false,
1773679835034,false,
1773679835084,true,
1773679835134,true,
1773679835183,true,
1773679835234,true,
1773679835284,true,
1773679835334,false,
1773679835383,true,
1773679835434,true,
1773679835484,false,
1773679835533,true,
1773679835584,false,
1773679835633,true,
1773679835683,true,
1773679835734,false,
1773679835784,true,
1773679835833,false,
1773679835883,true,
1773679835934,true,
1773679835983,false,
1773679836034,true,
1773679836084,true,
1773679836134,true,
1773679836183,true,
1773679836234,false,
1773679836284,true,
1773679836333,false,
1773679836384,false,
1773679836433,false,
1773679836484,true,
1773679836534,true,
1773679836584,true,
1773679836633,true,
1773679836684,false,
1773679836734,true,
1773679836783,false,
1773679836833,true,
1773679836884,false,
1773679836934,true,
1773679836983,true,
1773679837033,true,
1773679837084,true,
1773679837133,true,
1773679837184,true,
1773679837234,true,
1773679837283,true,
1773679837334,true,
1773679837384,true,
1773679837434,true,
1773679837483,true,
1773679837534,true,
1773679837584,true,
1773679837633,true,
1773679837684,true,
1773679837734,false,
1773679837783,true,
1773679837833,true,
1773679837883,false,
1773679837933,true,
1773679837984,false,
1773679838033,true,
1773679838084,true,
1773679838134,true,
1773679838183,true,
1773679838234,false,
1773679838284,true,
1773679838334,false,
1773679838384,true,
1773679838433,false,
1773679838484,false,
1773679838534,true,
1773679838583,true,
1773679838634,true,
1773679838684,true,
1773679838733,true,
1773679838783,true,
1773679838834,true,
1773679838884,true,
1773679838933,true,
1773679838983,true,
1773679839033,true,
1773679839083,true,
1773679839134,true,
1773679839184,true,
1773679839234,true,
1773679839284,true,
1773679839334,true,
1773679839384,true,
1773679839434,true,
1773679839483,true,
1773679839533,true,
1773679839584,true,
1773679839634,true,
1773679839683,false,
1773679839733,true,
1773679839783,true,
1773679839834,false,
1773679839884,true,
1773679839934,true,
1773679839984,true,
1773679840033,false,
1773679840084,true,
1773679840134,true,
1773679840183,true,
1773679840234,false,
1773679840284,true,
1773679840334,false,
1773679840383,true,
1773679840434,false,
1773679840484,true,
1773679840534,true,
1773679840584,true,
1773679840634,false,
1773679840684,false,
1773679840733,true,
1773679840783,true,
1773679840833,true,
1773679840884,true,
1773679840933,false,
1773679840984,true,
